iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
      220    2.2000E-07    1.082445E+00    1.202717E-01    1.318058E-07    6.763179E-07    3.420476E-06
      221    2.2100E-07    1.082445E+00    1.202717E-01    1.317947E-07    6.766199E-07    3.420185E-06
      222    2.2200E-07    1.082445E+00    1.202717E-01    1.317837E-07    6.769203E-07    3.419896E-06
      223    2.2300E-07    1.082445E+00    1.202717E-01    1.317727E-07    6.772192E-07    3.419608E-06
      224    2.2400E-07    1.082445E+00    1.202717E-01    1.317618E-07    6.775165E-07    3.419322E-06
      225    2.2500E-07    1.082445E+00    1.202717E-01    1.317510E-07    6.778122E-07    3.419037E-06
      226    2.2600E-07    1.082445E+00    1.202717E-01    1.317402E-07    6.781064E-07    3.418753E-06
      227    2.2700E-07    1.082445E+00    1.202717E-01    1.317295E-07    6.783990E-07    3.418471E-06
      228    2.2800E-07    1.082445E+00    1.202717E-01    1.317188E-07    6.786901E-07    3.418191E-06
      229    2.2900E-07    1.082445E+00    1.202717E-01    1.317082E-07    6.789797E-07    3.417912E-06
      230    2.3000E-07    1.082445E+00    1.202717E-01    1.316977E-07    6.792678E-07    3.417635E-06
      231    2.3100E-07    1.082445E+00    1.202717E-01    1.316872E-07    6.795544E-07    3.417358E-06
      232    2.3200E-07    1.082445E+00    1.202717E-01    1.316767E-07    6.798395E-07    3.417084E-06
      233    2.3300E-07    1.082445E+00    1.202717E-01    1.316663E-07    6.801230E-07    3.416811E-06
      234    2.3400E-07    1.082445E+00    1.202717E-01    1.316560E-07    6.804051E-07    3.416539E-06
      235    2.3500E-07    1.082445E+00    1.202717E-01    1.316457E-07    6.806857E-07    3.416269E-06
      236    2.3600E-07    1.082445E+00    1.202717E-01    1.316355E-07    6.809649E-07    3.416000E-06
      237    2.3700E-07    1.082445E+00    1.202717E-01    1.316253E-07    6.812426E-07    3.415732E-06
      238    2.3800E-07    1.082445E+00    1.202717E-01    1.316152E-07    6.815188E-07    3.415466E-06
      239    2.3900E-07    1.082445E+00    1.202717E-01    1.316051E-07    6.817936E-07    3.415201E-06
      240    2.4000E-07    1.082445E+00    1.202717E-01    1.315951E-07    6.820670E-07    3.414938E-06
      241    2.4100E-07    1.082445E+00    1.202717E-01    1.315852E-07    6.823389E-07    3.414676E-06
      242    2.4200E-07    1.082445E+00    1.202717E-01    1.315753E-07    6.826094E-07    3.414415E-06
      243    2.4300E-07    1.082445E+00    1.202717E-01    1.315654E-07    6.828785E-07    3.414156E-06
      244    2.4400E-07    1.082445E+00    1.202717E-01    1.315556E-07    6.831461E-07    3.413898E-06
      245    2.4500E-07    1.082445E+00    1.202717E-01    1.315458E-07    6.834124E-07    3.413642E-06
      246    2.4600E-07    1.082445E+00    1.202717E-01    1.315361E-07    6.836773E-07    3.413387E-06
      247    2.4700E-07    1.082445E+00    1.202717E-01    1.315265E-07    6.839408E-07    3.413133E-06
      248    2.4800E-07    1.082445E+00    1.202717E-01    1.315169E-07    6.842029E-07    3.412880E-06
      249    2.4900E-07    1.082445E+00    1.202717E-01    1.315073E-07    6.844636E-07    3.412629E-06
      250    2.5000E-07    1.082445E+00    1.202717E-01    1.314978E-07    6.847230E-07    3.412379E-06
      251    2.5100E-07    1.082445E+00    1.202717E-01    1.314884E-07    6.849810E-07    3.412131E-06
      252    2.5200E-07    1.082445E+00    1.202717E-01    1.314790E-07    6.852377E-07    3.411883E-06
      253    2.5300E-07    1.082445E+00    1.202717E-01    1.314696E-07    6.854930E-07    3.411637E-06
      254    2.5400E-07    1.082445E+00    1.202717E-01    1.314603E-07    6.857470E-07    3.411393E-06
      255    2.5500E-07    1.082445E+00    1.202717E-01    1.314511E-07    6.859997E-07    3.411149E-06
      256    2.5600E-07    1.082445E+00    1.202717E-01    1.314419E-07    6.862510E-07    3.410907E-06
      257    2.5700E-07    1.082445E+00    1.202717E-01    1.314327E-07    6.865011E-07    3.410666E-06
      258    2.5800E-07    1.082445E+00    1.202717E-01    1.314236E-07    6.867498E-07    3.410427E-06
      259    2.5900E-07    1.082445E+00    1.202717E-01    1.314145E-07    6.869972E-07    3.410188E-06
      260    2.6000E-07    1.082445E+00    1.202717E-01    1.314055E-07    6.872433E-07    3.409951E-06
      261    2.6100E-07    1.082445E+00    1.202717E-01    1.313965E-07    6.874881E-07    3.409715E-06
      262    2.6200E-07    1.082445E+00    1.202717E-01    1.313876E-07    6.877317E-07    3.409481E-06
      263    2.6300E-07    1.082445E+00    1.202717E-01    1.313787E-07    6.879740E-07    3.409247E-06
      264    2.6400E-07    1.082445E+00    1.202717E-01    1.313699E-07    6.882150E-07    3.409015E-06
      265    2.6500E-07    1.082445E+00    1.202717E-01    1.313611E-07    6.884547E-07    3.408784E-06
      266    2.6600E-07    1.082445E+00    1.202717E-01    1.313524E-07    6.886932E-07    3.408554E-06
      267    2.6700E-07    1.082445E+00    1.202717E-01    1.313437E-07    6.889305E-07    3.408326E-06
      268    2.6800E-07    1.082445E+00    1.202717E-01    1.313351E-07    6.891665E-07    3.408098E-06
      269    2.6900E-07    1.082445E+00    1.202717E-01    1.313265E-07    6.894012E-07    3.407872E-06
