iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
      154    3.0800E-06    9.501462E-01    2.525698E-01    1.205280E-15    1.204894E-15    3.352912E-09    6.080426E-06    1.007151E-15    1.419574E-06
      155    3.1000E-06    9.501462E-01    2.525698E-01    1.205311E-15    1.204908E-15    3.383215E-09    6.073001E-06    1.007168E-15    1.426999E-06
      156    3.1200E-06    9.501462E-01    2.525698E-01    1.205343E-15    1.204922E-15    3.413615E-09    6.065596E-06    1.007185E-15    1.434404E-06
      157    3.1400E-06    9.501462E-01    2.525698E-01    1.205374E-15    1.204937E-15    3.444109E-09    6.058209E-06    1.007201E-15    1.441791E-06
      158    3.1600E-06    9.501462E-01    2.525698E-01    1.205406E-15    1.204951E-15    3.474699E-09    6.050841E-06    1.007217E-15    1.449159E-06
      159    3.1800E-06    9.501462E-01    2.525698E-01    1.205438E-15    1.204965E-15    3.505383E-09    6.043491E-06    1.007233E-15    1.456509E-06
      160    3.2000E-06    9.501462E-01    2.525698E-01    1.205470E-15    1.204979E-15    3.536162E-09    6.036160E-06    1.007249E-15    1.463840E-06
      161    3.2200E-06    9.501462E-01    2.525698E-01    1.205503E-15    1.204993E-15    3.567034E-09    6.028847E-06    1.007264E-15    1.471153E-06
      162    3.2400E-06    9.501462E-01    2.525698E-01    1.205535E-15    1.205008E-15    3.598001E-09    6.021553E-06    1.007279E-15    1.478447E-06
      163    3.2600E-06    9.501462E-01    2.525698E-01    1.205568E-15    1.205022E-15    3.629062E-09    6.014277E-06    1.007293E-15    1.485723E-06
      164    3.2800E-06    9.501462E-01    2.525697E-01    1.205600E-15    1.205036E-15    3.660216E-09    6.007020E-06    1.007307E-15    1.492980E-06
      165    3.3000E-06    9.501462E-01    2.525697E-01    1.205633E-15    1.205050E-15    3.691463E-09    5.999780E-06    1.007321E-15    1.500220E-06
      166    3.3200E-06    9.501462E-01    2.525697E-01    1.205667E-15    1.205064E-15    3.722803E-09    5.992559E-06    1.007335E-15    1.507441E-06
      167    3.3400E-06    9.501462E-01    2.525697E-01    1.205700E-15    1.205079E-15    3.754237E-09    5.985356E-06    1.007348E-15    1.514644E-06
      168    3.3600E-06    9.501462E-01    2.525697E-01    1.205733E-15    1.205093E-15    3.785762E-09    5.978171E-06    1.007361E-15    1.521829E-06
