iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
      153    3.0600E-06    9.501462E-01    2.525698E-01    1.205273E-15    1.204880E-15    3.337133E-09    6.091035E-06    1.007083E-15    1.408965E-06
      154    3.0800E-06    9.501462E-01    2.525698E-01    1.205305E-15    1.204894E-15    3.367396E-09    6.083602E-06    1.007100E-15    1.416398E-06
      155    3.1000E-06    9.501462E-01    2.525698E-01    1.205336E-15    1.204908E-15    3.397755E-09    6.076189E-06    1.007117E-15    1.423811E-06
      156    3.1200E-06    9.501462E-01    2.525698E-01    1.205368E-15    1.204922E-15    3.428208E-09    6.068794E-06    1.007134E-15    1.431206E-06
      157    3.1400E-06    9.501462E-01    2.525698E-01    1.205399E-15    1.204937E-15    3.458756E-09    6.061417E-06    1.007150E-15    1.438583E-06
      158    3.1600E-06    9.501462E-01    2.525698E-01    1.205431E-15    1.204951E-15    3.489399E-09    6.054060E-06    1.007166E-15    1.445940E-06
      159    3.1800E-06    9.501462E-01    2.525698E-01    1.205463E-15    1.204965E-15    3.520136E-09    6.046720E-06    1.007181E-15    1.453280E-06
      160    3.2000E-06    9.501462E-01    2.525698E-01    1.205496E-15    1.204979E-15    3.550967E-09    6.039400E-06    1.007197E-15    1.460600E-06
      161    3.2200E-06    9.501462E-01    2.525698E-01    1.205528E-15    1.204993E-15    3.581892E-09    6.032097E-06    1.007212E-15    1.467903E-06
      162    3.2400E-06    9.501462E-01    2.525698E-01    1.205561E-15    1.205008E-15    3.612911E-09    6.024813E-06    1.007226E-15    1.475187E-06
      163    3.2600E-06    9.501462E-01    2.525698E-01    1.205593E-15    1.205022E-15    3.644023E-09    6.017547E-06    1.007241E-15    1.482453E-06
      164    3.2800E-06    9.501462E-01    2.525697E-01    1.205626E-15    1.205036E-15    3.675228E-09    6.010300E-06    1.007255E-15    1.489700E-06
      165    3.3000E-06    9.501462E-01    2.525697E-01    1.205659E-15    1.205050E-15    3.706526E-09    6.003071E-06    1.007268E-15    1.496929E-06
      166    3.3200E-06    9.501462E-01    2.525697E-01    1.205692E-15    1.205065E-15    3.737917E-09    5.995859E-06    1.007282E-15    1.504141E-06
      167    3.3400E-06    9.501462E-01    2.525697E-01    1.205726E-15    1.205079E-15    3.769400E-09    5.988666E-06    1.007295E-15    1.511334E-06
      168    3.3600E-06    9.501462E-01    2.525697E-01    1.205759E-15    1.205093E-15    3.800976E-09    5.981491E-06    1.007308E-15    1.518509E-06
      169    3.3800E-06    9.501462E-01    2.525697E-01    1.205793E-15    1.205107E-15    3.832643E-09    5.974333E-06    1.007320E-15    1.525667E-06
      170    3.4000E-06    9.501462E-01    2.525697E-01    1.205827E-15    1.205121E-15    3.864402E-09    5.967193E-06    1.007332E-15    1.532807E-06
      171    3.4200E-06    9.501462E-01    2.525697E-01    1.205861E-15    1.205136E-15    3.896253E-09    5.960072E-06    1.007344E-15    1.539928E-06
      172    3.4400E-06    9.501462E-01    2.525697E-01    1.205895E-15    1.205150E-15    3.928195E-09    5.952967E-06    1.007356E-15    1.547033E-06
      173    3.4600E-06    9.501462E-01    2.525697E-01    1.205929E-15    1.205164E-15    3.960228E-09    5.945881E-06    1.007367E-15    1.554119E-06
      174    3.4800E-06    9.501462E-01    2.525697E-01    1.205964E-15    1.205178E-15    3.992352E-09    5.938812E-06    1.007378E-15    1.561188E-06
      175    3.5000E-06    9.501462E-01    2.525697E-01    1.205998E-15    1.205193E-15    4.024566E-09    5.931760E-06    1.007389E-15    1.568240E-06
      176    3.5200E-06    9.501462E-01    2.525697E-01    1.206033E-15    1.205207E-15    4.056871E-09    5.924726E-06    1.007399E-15    1.575274E-06
      177    3.5400E-06    9.501462E-01    2.525697E-01    1.206068E-15    1.205221E-15    4.089267E-09    5.917710E-06    1.007409E-15    1.582290E-06
      178    3.5600E-06    9.501462E-01    2.525697E-01    1.206103E-15    1.205235E-15    4.121752E-09    5.910710E-06    1.007419E-15    1.589290E-06
      179    3.5800E-06    9.501462E-01    2.525697E-01    1.206138E-15    1.205250E-15    4.154326E-09    5.903728E-06    1.007429E-15    1.596272E-06
      180    3.6000E-06    9.501462E-01    2.525697E-01    1.206174E-15    1.205264E-15    4.186991E-09    5.896763E-06    1.007438E-15    1.603237E-06
      181    3.6200E-06    9.501462E-01    2.525697E-01    1.206209E-15    1.205278E-15    4.219744E-09    5.889816E-06    1.007447E-15    1.610184E-06
      182    3.6400E-06    9.501462E-01    2.525697E-01    1.206245E-15    1.205292E-15    4.252587E-09    5.882885E-06    1.007455E-15    1.617115E-06
